	keywords	counts
546	COVID-19	1064
2831	SARS-CoV-2	661
4111	drug repurposing	158
3897	coronavirus	107
1083	Drug repurposing	95
827	Coronavirus	90
3609	antivirals	71
3601	antiviral drugs	51
4061	drug discovery	49
2016	Molecular docking	48
357	Antivirals	47
4829	molecular docking	44
1043	Drug discovery	43
864	Covid-19	41
346	Antiviral drugs	39
107	ACE2	38
5415	remdesivir	35
1142	Drugs	34
4483	hydroxychloroquine	33
4177	drugs	33
1579	Hydroxychloroquine	32
5847	virtual screening	32
4836	molecular dynamics	30
5801	vaccines	29
3271	Vaccines	28
5753	treatment	28
4054	drug design	27
5096	pandemic	27
3592	antiviral	26
5791	vaccine	26
2823	SARS-CoV	25
1079	Drug repositioning	25
2716	Remdesivir	25
2374	Pandemic	25
3842	clinical trials	25
4058	drug development	24
4051	drug delivery	24
4032	drug	24
5526	severe acute respiratory syndrome coronavirus 2	22
4108	drug repositioning	22
55	2019-nCoV	20
4020	docking	20
741	Clinical trials	19
712	Chloroquine	19
1032	Drug delivery	19
331	Antiviral	19
3322	Virtual screening	18
3904	coronavirus disease 2019	17
4571	infectious disease	16
3943	cytokine storm	16
3268	Vaccine	16
540	COVID 19	15
1041	Drug development	15
999	Drug	15
4741	main protease	15
2695	RdRp	15
2820	SARS-COV-2	14
1879	MERS-CoV	14
3123	TMPRSS2	14
3597	antiviral drug	14
2798	SARS	14
1456	HIV	13
3804	chloroquine	13
3021	Spike protein	13
1858	MD simulation	13
3313	Virology	13
597	COVID19	12
5712	therapeutics	12
2022	Molecular dynamics	12
2881	SARS-CoV2	12
5436	repurposed drugs	12
1037	Drug design	12
5594	spike protein	11
75	3CLpro	11
4293	favipiravir	11
4575	inflammation	11
5223	pneumonia	11
1295	FDA, Food and Drug Administration	11
2159	Natural products	11
840	Coronavirus disease 2019	11
4920	natural products	11
1318	Favipiravir	11
855	Coronaviruses	11
1676	Infection	10
4165	drug-related side effects and adverse reactions	10
560	COVID-19 drug treatment	10
4573	infectious diseases	10
5483	safety	10
4858	mortality	10
4080	drug interactions	10
2857	SARS-CoV-2 main protease	10
4120	drug screening	10
1294	FDA approved drugs	10
442	Bioinformatics	10
3166	Therapeutics	10
4148	drug-drug interaction	9
377	Artificial intelligence	9
1099	Drug targets	9
991	Docking	9
2375	Pandemics	9
4730	machine learning	9
3920	covid-19	9
4090	drug monitoring	9
2050	Mpro	9
5438	repurposing	9
