	keywords	count
7938	mental health	1955
868	anxiety	1155
3469	depression	1128
13142	stress	553
7901	medicine	383
1410	biotechnology	237
10011	physical activity	204
11673	resilience	202
12753	social isolation	202
6463	immunology	195
12143	science policy	189
14402	virology	186
7468	loneliness	184
5790	health promotion	177
10904	psychological distress	175
11118	public health and health services not elsewhere classified	166
10570	primary health care	161
10555	preventive medicine	155
4760	family care	154
5651	health and community services	153
12900	sociology	152
574	aged health care	151
5723	health counselling	150
2358	community child health	150
5757	health information systems (incl. surveillance)	149
4371	environmental and occupational health and safety	149
7975	mental health nursing	148
1382	biological sciences not elsewhere classified	148
9005	nursing not elsewhere classified	147
8123	midwifery	147
242	aboriginal and torres strait islander health	146
8505	nanotoxicology, health and safety	146
5676	health care administration	146
1695	care for disabled	146
7903	medicine, nursing and health curriculum and pedagogy	146
11262	quality of life	141
12563	sleep	127
12764	social media	124
10984	psychology not elsewhere classified	122
2140	clinical psychology	117
10840	psychiatry	114
14600	well-being	110
10923	psychological impact	109
10983	psychology and cognitive sciences not elsewhere classified	106
2686	coping	104
8272	molecular biology	103
5856	health, clinical and counselling psychology	102
476	adolescents	102
9342	organizational behavioral psychology	100
1567	burnout	100
926	applied psychology	99
3523	developmental and educational psychology	99
2483	computational  biology	99
8099	microbiology	99
4831	fear	99
9913	personality, social and criminal psychology	98
6624	industrial and organisational psychology	98
5253	gender psychology	98
8740	neuroscience and physiological psychology	98
8182	misinformation	96
12838	social support	96
10842	psychiatry (incl. psychotherapy)	93
5330	genetics	93
6816	insomnia	93
4581	exercise	90
13391	survey	89
11085	ptsd	89
11842	risk perception	83
1210	behavior	78
13305	suicide	76
9130	older adults	75
10982	psychology	74
2526	confinement	73
8739	neuroscience	72
7080	isolation	71
1782	cell biology	70
4077	education	69
5646	health	69
1365	biochemistry	68
3410	dementia	65
13627	telepsychiatry	64
3819	domestic violence	64
636	alcohol	64
12642	smoking	63
9961	pharmacology	63
3780	distress	63
8992	nurses	63
5707	health care workers	60
14603	wellbeing	59
5661	health behavior	58
13954	trauma	58
10306	post-traumatic stress disorder	57
3494	depressive symptoms	57
8151	mindfulness	50
14180	university students	48
10509	prevalence	48
1071	attitude	47
