	keywords	counts
487	COVID-19	1645
2053	Lockdown	475
5399	lockdown	437
3198	SARS-CoV-2	295
6200	quarantine	292
5012	health policy	257
2977	Quarantine	187
833	Coronavirus	181
6148	public health	167
2567	Pandemic	156
5790	pandemic	149
2706	Policy	147
1633	Health policy	134
4385	coronavirus	126
876	Covid-19	115
5922	policy	88
5513	mental health	79
528	COVID-19 pandemic	75
2923	Public health	66
518	COVID-19 lockdown	61
4053	anxiety	60
4498	depression	57
2586	Pandemics	50
1818	India	47
2212	Mental health	44
4729	epidemiology	41
6506	social distancing	41
6170	public policy	41
223	Air pollution	38
5895	physical activity	38
986	Depression	37
5329	isolation	36
226	Air quality	36
283	Anxiety	36
5045	health systems	36
6613	stress	35
1269	Epidemiology	34
2942	Public policy	33
556	COVID‐19	32
3387	Social distancing	30
1581	Health Policy	30
4411	covid-19	27
1515	Government	27
3620	Telemedicine	26
6698	telemedicine	26
703	Climate change	26
1842	Infection	25
675	China	25
2749	Politics	24
479	COVID 19	24
4390	coronavirus disease	21
6307	respiratory infections	21
3510	Stress	21
1859	Infectious diseases	20
5374	lifestyle	19
4741	ethics	19
6937	zoonoses	19
5805	pandemics	19
4239	children	19
780	Confinement	19
661	Children	18
1940	Isolation	18
6875	viruses	18
6444	severe acute respiratory syndrome coronavirus 2	18
6692	telehealth	17
1057	Diseases	17
5233	infectious disease	17
6161	public health policy	17
4990	health disparities	16
3412	Society	16
6111	psychological distress	16
6047	prevention	16
4713	epidemic	16
1003	Diabetes	16
4356	contact tracing	16
1949	Italy	15
6851	vaccines	15
1252	Epidemic	15
1149	Economics	15
3185	SARS	15
2297	Mortality	15
5242	infectious diseases	15
3698	Trauma	14
3812	Vaccines	14
5219	infection control	14
476	COVID	14
5415	loneliness	14
4996	health equity	14
6300	resilience	14
2517	Outbreak	13
5771	outbreak	13
3128	Respiratory tract infections	13
3444	Spain	13
2546	PM2.5	13
2931	Public health policy	13
3922	Wuhan	13
6469	sleep	13
4963	health	13
4991	health economics	13
4528	diet	13
6903	well-being	13
1600	Health care	13
6654	surveillance	12
5669	novel coronavirus	12
6520	social isolation	12
4373	control strategies	12
6195	quality of life	12
1284	Ethics	12
4772	exercise	12
2914	Public Health	11
242	Alcohol	11
6656	survey	11
3593	Systems of care	11
3619	Telehealth	11
6780	travel restrictions	11
2398	Non-pharmaceutical interventions	11
